Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
CLRN2	4	0.032221	0.35132	0.52344	0.94466	0.72535	0.81646	-0.065359	-0.70925	0.83172	0.98512	0.47817	0.61868	-0.17004	-1.8687	0.74123	0.97851	0.061658	0.12634	-0.24497	-2.5316	0.53728	0.95182	0.011354	0.034748
CCDC22	4	0.20154	2.3392	0.15023	0.79185	0.019327	0.051422	0.13236	1.533	0.23896	0.86823	0.12527	0.231	0.16867	1.9832	0.24611	0.88446	0.047346	0.10247	0.20126	2.2893	0.173	0.81536	0.022062	0.05946
DEFA4	4	0.20098	2.2026	0.15089	0.7924	0.02762	0.068739	0.20665	2.2692	0.12453	0.77416	0.023254	0.061228	0.28633	3.2042	0.094322	0.74153	0.0013543	0.005374	0.18349	1.9598	0.20038	0.83527	0.050014	0.11388
ANKFY1	5	0.085701	1.1151	0.37477	0.91919	0.26481	0.40033	0.09947	1.297	0.30931	0.88684	0.19463	0.32212	0.030675	0.40425	0.5904	0.96221	0.68603	0.78063	0.068239	0.86864	0.45811	0.93552	0.38504	0.53379
KRTAP10-6	2	-0.11924	-0.94383	0.96138	0.99833	0.34526	0.48649	-0.13548	-1.0732	0.91725	0.99264	0.28319	0.42562	-0.031477	-0.25501	0.79842	0.984	0.79872	0.86507	-0.11233	-0.86721	0.93972	0.99769	0.38583	0.53458
FAM122C	4	-0.051231	-0.62441	0.80356	0.98543	0.53236	0.66203	0.00366	0.044776	0.5869	0.95495	0.96429	0.9797	-0.01935	-0.23929	0.75653	0.98048	0.81088	0.87379	-0.052916	-0.63266	0.85632	0.99321	0.52695	0.66371
ETS2	4	-0.04957	-0.52885	0.79796	0.98529	0.59691	0.71604	-0.13385	-1.4218	0.92328	0.99287	0.15508	0.27125	0.070035	0.7684	0.47355	0.93666	0.44225	0.57276	0.03511	0.36644	0.55678	0.95182	0.71404	0.81076
MYH7B	4	-0.40131	-4.4593	0.27444	0.879	8.22E-06	6.05E-05	-0.31003	-3.4778	0.41931	0.92088	0.00050555	0.0024206	-0.20359	-2.3443	0.64265	0.97214	0.019062	0.048759	-0.28297	-3.0782	0.44432	0.93421	0.0020829	0.0084356
BRP44	4	-0.31579	-3.3821	0.42033	0.93581	0.00071936	0.003182	-0.33858	-3.6275	0.36298	0.90507	0.00028613	0.0014838	-0.38551	-4.2123	0.26084	0.88983	2.53E-05	0.00016643	-0.55951	-5.6192	0.093071	0.72423	1.92E-08	3.08E-07
CDK16	4	0.01676	0.20758	0.57002	0.9541	0.83556	0.8944	-0.035834	-0.44333	0.72583	0.97243	0.65753	0.77034	-0.023878	-0.29881	0.77234	0.98168	0.76509	0.84199	-0.032911	-0.39983	0.78526	0.98499	0.68928	0.79304
ARF3	3	-0.019737	-0.1594	0.69464	0.97203	0.87335	0.91926	-0.047838	-0.38633	0.76859	0.97973	0.69925	0.80239	0.011195	0.092975	0.65301	0.97214	0.92592	0.95194	-0.014587	-0.1138	0.72213	0.97912	0.90939	0.94374
AGA	3	-0.065849	-0.6435	0.85508	0.99186	0.5199	0.6504	-0.077576	-0.75884	0.87548	0.98949	0.44795	0.59052	-0.26444	-2.6044	0.48548	0.93798	0.0092029	0.026888	-0.32116	-2.9893	0.36547	0.90735	0.0027962	0.010807
CAPN6	4	-0.17443	-1.8506	0.78486	0.98403	0.064228	0.13438	-0.15257	-1.6247	0.85928	0.98892	0.10422	0.20047	-0.11659	-1.2694	0.91258	0.99313	0.20431	0.32326	-0.10988	-1.1376	0.94827	0.99877	0.25529	0.39503
ACVR2B	2	-0.15902	-1.265	0.8335	0.99099	0.20586	0.33154	-0.23264	-1.8446	0.61059	0.95954	0.065101	0.13949	-0.097006	-0.78974	0.97681	0.99888	0.42968	0.5609	0.10247	0.81001	0.36709	0.90735	0.41793	0.56584
GBP4	3	0.057794	0.558	0.44982	0.9387	0.57685	0.70021	0.15026	1.4612	0.20651	0.85323	0.14396	0.25646	0.26481	2.6267	0.1142	0.77055	0.008621	0.025488	0.27849	2.6661	0.08826	0.72118	0.0076746	0.025173
TMEM156	5	-0.10494	-1.2509	0.98926	0.99867	0.21097	0.33758	-0.30079	-3.5351	0.43929	0.92629	0.00040763	0.0020126	-0.34098	-4.0925	0.33043	0.89836	4.27E-05	0.00026373	-0.43605	-4.8427	0.19449	0.83276	1.28E-06	1.38E-05
AEBP1	4	0.22493	2.3781	0.1224	0.75724	0.017401	0.04719	0.23925	2.5362	0.091567	0.71912	0.011206	0.033648	0.014176	0.15097	0.64298	0.97214	0.88	0.92109	-0.027455	-0.27598	0.7669	0.984	0.78256	0.85912
RNH1	3	0.41376	4.0947	0.019875	0.45137	4.23E-05	0.00026506	0.13351	1.3042	0.23679	0.86688	0.19218	0.319	0.28887	2.8842	0.092428	0.74093	0.0039241	0.013214	0.27822	2.6797	0.088536	0.72118	0.0073689	0.024315
CCT7	4	-0.18219	-2.4468	0.76167	0.98234	0.014412	0.040289	-0.15018	-2.0196	0.86732	0.98949	0.043422	0.101	-0.0045993	-0.062359	0.70701	0.9773	0.95028	0.96817	-0.058982	-0.78741	0.87785	0.995	0.43104	0.57836
FAM105A	4	-0.37317	-3.465	0.31631	0.89565	0.00053014	0.002427	-0.21039	-1.9944	0.67461	0.96862	0.046112	0.10591	-0.19005	-1.8546	0.68122	0.97503	0.063655	0.12949	-0.30892	-2.7655	0.38943	0.91568	0.0056829	0.019556
ISG20	3	-0.48422	-4.3006	0.17646	0.81777	1.70E-05	0.00011707	-0.33355	-3.0131	0.37232	0.90946	0.0025855	0.0098874	-0.59525	-5.3954	0.076927	0.72485	6.84E-08	8.05E-07	-0.53167	-4.5081	0.10978	0.75611	6.54E-06	5.99E-05
LMAN1L	4	0.25392	2.9008	0.093599	0.70622	0.0037215	0.012973	0.18569	2.1168	0.1519	0.80584	0.034274	0.083523	0.153	1.7663	0.27545	0.88983	0.077351	0.15165	0.14025	1.5576	0.28041	0.86882	0.11934	0.22285
CNTNAP2	3	-0.54805	-5.0644	0.12357	0.75735	4.10E-07	3.88E-06	-0.32206	-3.0433	0.39458	0.91488	0.0023399	0.0090576	-0.32533	-3.1403	0.35747	0.9057	0.0016876	0.0064712	-0.31964	-2.9178	0.36826	0.90762	0.0035246	0.013158
CNTROB	4	0.0012575	0.0155	0.62404	0.96217	0.98763	0.99364	-0.039794	-0.49019	0.73948	0.97427	0.624	0.7427	0.064515	0.80659	0.48939	0.93925	0.4199	0.5516	0.065279	0.79345	0.46646	0.93697	0.42752	0.57508
REG1A	5	0.48039	4.476	0.011091	0.3687	7.60E-06	5.64E-05	0.47097	4.3946	0.010402	0.34135	1.11E-05	8.30E-05	0.63242	6.0871	0.0059131	0.36268	1.15E-09	1.89E-08	0.51847	4.6942	0.0098743	0.40757	2.68E-06	2.69E-05
ARHGAP31	4	-0.044679	-0.48082	0.78049	0.98403	0.63064	0.7422	-0.18235	-1.9457	0.76124	0.97903	0.051689	0.116	-0.12836	-1.4041	0.87361	0.98983	0.1603	0.2681	-0.15467	-1.5975	0.80064	0.98732	0.11015	0.21004
STARD3	4	-0.034172	-0.44036	0.74498	0.98101	0.65968	0.76474	-0.069938	-0.90101	0.84846	0.98892	0.36758	0.51346	0.0074665	0.09721	0.66464	0.97388	0.92256	0.94954	0.0025699	0.032732	0.66254	0.97219	0.97389	0.98423
EIF4ENIF1	4	-0.69285	-7.8009	0.054504	0.62174	6.15E-15	1.74E-13	-0.5993	-6.8173	0.082508	0.70486	9.28E-12	1.95E-10	-0.61408	-7.1322	0.068741	0.70837	9.87E-13	2.51E-11	-0.68496	-7.4502	0.042345	0.60442	9.32E-14	3.67E-12
TTC33	5	-0.08787	-1.0452	0.92994	0.99661	0.29593	0.43501	0.0026235	0.031471	0.5914	0.95613	0.97489	0.98496	-0.12388	-1.5027	0.8881	0.99048	0.13292	0.23167	-0.11442	-1.3174	0.93298	0.99689	0.18769	0.31361
BTRC	4	-0.039046	-0.48075	0.76164	0.98234	0.6307	0.7422	0.12024	1.4918	0.26348	0.87663	0.13574	0.24524	0.033942	0.42424	0.57968	0.95937	0.67139	0.76956	0.014675	0.17798	0.62183	0.96412	0.85874	0.91181
GYS1	3	-0.28533	-3.0624	0.48558	0.94079	0.0021954	0.0083188	-0.29594	-3.1789	0.45071	0.92816	0.0014785	0.0061142	-0.20342	-2.2206	0.64308	0.97214	0.026381	0.063726	-0.20531	-2.1714	0.64618	0.96811	0.029897	0.075982
SRSF6	2	-0.27198	-1.9676	0.5169	0.94349	0.049108	0.10872	-0.27012	-1.9592	0.51218	0.94183	0.050087	0.11309	-0.35653	-2.6316	0.30405	0.89108	0.0084995	0.025175	-0.30779	-2.1396	0.39152	0.91649	0.03239	0.08075
EPS8L2	3	0.19551	2.0624	0.15841	0.80186	0.039171	0.090759	0.14759	1.5556	0.21098	0.85516	0.11981	0.22333	-0.015725	-0.16663	0.74413	0.97878	0.86766	0.91267	0.025422	0.26115	0.58758	0.9583	0.79398	0.8676
C9orf174	4	0.20203	2.3961	0.14963	0.79078	0.01657	0.045373	0.2179	2.5892	0.11205	0.7515	0.0096192	0.029645	0.37006	4.4707	0.045628	0.64249	7.80E-06	5.86E-05	0.32464	3.8072	0.058212	0.66436	0.00014055	0.00085681
LENG9	2	0.01692	0.13042	0.56955	0.9541	0.89624	0.93468	0.090664	0.70347	0.33041	0.89406	0.48177	0.6219	0.13153	1.0398	0.32049	0.89605	0.29844	0.43038	0.23519	1.796	0.12948	0.7814	0.072492	0.15243
CACNG8	3	0.031081	0.24043	0.52679	0.94466	0.80999	0.87625	-0.001167	-0.009023	0.60676	0.95881	0.9928	0.99547	0.029774	0.23656	0.59317	0.96221	0.813	0.87515	0.11995	0.90399	0.32442	0.89062	0.366	0.5146
XRN2	3	0.093702	0.86972	0.35488	0.91003	0.38445	0.52656	-0.0008088	-0.0074718	0.60561	0.95881	0.99404	0.99627	0.17637	1.6761	0.232	0.87274	0.093711	0.17655	0.035515	0.31898	0.55542	0.95182	0.74974	0.83641
IL1R2	5	0.10022	1.3469	0.33949	0.90443	0.178	0.2971	0.011346	0.15205	0.56073	0.95235	0.87915	0.92671	0.099357	1.3531	0.39484	0.91823	0.17604	0.28784	0.077198	1.0168	0.43327	0.92998	0.30924	0.45473
CPA5	3	0.073028	0.74516	0.40716	0.93334	0.45617	0.59437	0.046979	0.47939	0.44921	0.92806	0.63166	0.74892	0.01044	0.10781	0.65536	0.97214	0.91415	0.94434	0.1156	1.1586	0.33462	0.89419	0.24663	0.38526
NCK2	6	0.13226	1.8461	0.26765	0.87548	0.06488	0.13551	0.18664	2.6167	0.15071	0.80563	0.008879	0.027772	0.31167	4.4518	0.076066	0.72381	8.51E-06	6.34E-05	0.19539	2.6788	0.1815	0.82028	0.0073897	0.024379
OR52M1	2	0.040652	0.30771	0.49919	0.94316	0.7583	0.84015	-0.04832	-0.36412	0.77032	0.98024	0.71577	0.81447	-0.1124	-0.86056	0.92621	0.99448	0.38948	0.52376	0.096556	0.71396	0.38151	0.91344	0.47525	0.6195
PPP3R1	3	-0.44176	-4.1342	0.22113	0.85181	3.56E-05	0.00022714	-0.45905	-4.2998	0.18704	0.84511	1.71E-05	0.00012115	-0.29622	-2.872	0.41512	0.92346	0.0040791	0.013683	-0.31308	-2.8675	0.38125	0.91344	0.0041369	0.015013
GSTK1	4	0.040676	0.52484	0.49914	0.94316	0.5997	0.71824	-0.031495	-0.40581	0.7106	0.97064	0.68488	0.79132	0.073446	0.95672	0.46419	0.93172	0.33871	0.47285	-0.051092	-0.64847	0.84993	0.99158	0.51668	0.65539
VMAC	3	-0.022079	-0.20413	0.70268	0.97468	0.83825	0.89595	-0.015232	-0.14117	0.6541	0.96463	0.88774	0.93255	-0.10064	-0.94583	0.96504	0.99837	0.34424	0.47852	-0.14816	-1.3135	0.82118	0.98961	0.18902	0.3152
CRYBA1	4	-0.5687	-6.1538	0.1102	0.73633	7.57E-10	1.12E-08	-0.53073	-5.7758	0.12384	0.77153	7.66E-09	1.06E-07	-0.45651	-5.1095	0.17505	0.82993	3.23E-07	3.34E-06	-0.51375	-5.3999	0.12217	0.77213	6.67E-08	9.62E-07
DDIT4	4	-0.11434	-1.1205	0.97821	0.99845	0.26249	0.39797	-0.16103	-1.5751	0.83091	0.98512	0.11523	0.21685	-0.044202	-0.44731	0.8416	0.98899	0.65465	0.7575	-0.14545	-1.3675	0.82973	0.98961	0.17146	0.29359
SPDYC	3	-0.042383	-0.42803	0.77317	0.98308	0.66863	0.77244	0.027191	0.27605	0.50889	0.94175	0.78251	0.86198	-0.01112	-0.11428	0.72874	0.97843	0.90901	0.94094	-0.085518	-0.84153	0.96977	0.99913	0.40005	0.54796
ENTPD8	3	0.24712	2.7168	0.099811	0.71425	0.0065915	0.020967	0.29479	3.2481	0.052437	0.61246	0.0011618	0.0049555	0.20551	2.2768	0.18589	0.84617	0.022797	0.056598	0.20658	2.2389	0.16547	0.80904	0.02516	0.066072
WDHD1	7	-0.42571	-5.8875	0.24091	0.86405	3.92E-09	5.29E-08	-0.27565	-3.8732	0.49891	0.94126	0.00010742	0.00062705	-0.20246	-2.923	0.64584	0.97214	0.0034667	0.011879	-0.16785	-2.3006	0.75875	0.984	0.021417	0.058164
DMP1	2	-0.33267	-2.7584	0.38723	0.9254	0.0058081	0.01891	-0.33283	-2.7647	0.37365	0.9095	0.0056971	0.019225	-0.3024	-2.5594	0.40258	0.92119	0.010486	0.029987	-0.30171	-2.4414	0.40396	0.92042	0.014632	0.042778
SLC24A3	3	0.15111	1.4399	0.2303	0.85982	0.14989	0.26048	0.16777	1.6029	0.17784	0.83634	0.10895	0.20771	0.078766	0.76118	0.44913	0.92939	0.44655	0.577	0.019768	0.1817	0.6056	0.96178	0.85582	0.90972
FAM213A	3	-0.14798	-1.5224	0.86876	0.99392	0.12792	0.23054	-0.15542	-1.6007	0.8498	0.98892	0.10945	0.20843	-0.065393	-0.68603	0.91493	0.99336	0.4927	0.62006	-0.040799	-0.41334	0.81312	0.98895	0.67935	0.78569
PTMS	4	-0.071689	-0.59298	0.87518	0.99455	0.55319	0.68005	-0.012187	-0.10178	0.64365	0.96334	0.91893	0.95228	0.095325	0.82643	0.40517	0.92212	0.40856	0.54082	0.1484	1.2088	0.2634	0.86089	0.22674	0.36199
ZNF773	3	0.079956	0.49099	0.38899	0.92588	0.62343	0.73655	0.26009	1.6303	0.075044	0.68655	0.10303	0.19881	0.31722	2.0501	0.072633	0.71749	0.040352	0.090048	0.16192	0.96469	0.23768	0.85234	0.3347	0.48166
ELF5	5	-0.26648	-3.5128	0.52961	0.94466	0.00044335	0.0020845	-0.1932	-2.5606	0.7275	0.97247	0.010451	0.031788	-0.1531	-2.0613	0.7935	0.98373	0.039276	0.088182	-0.16451	-2.1369	0.76954	0.984	0.032606	0.081131
PRND	2	0.27145	2.099	0.079109	0.68162	0.035816	0.084377	0.23349	1.8044	0.096791	0.72698	0.07117	0.14954	0.4758	3.7705	0.01844	0.48808	0.00016295	0.00085571	0.26957	2.0355	0.095069	0.7258	0.041805	0.098918
TPK1	2	-0.09026	-0.77179	0.93825	0.99666	0.44024	0.57977	-0.16354	-1.3951	0.82266	0.98426	0.16299	0.28155	0.07173	0.62577	0.46879	0.93451	0.53147	0.65522	-0.023431	-0.19715	0.75271	0.98399	0.84371	0.90171
AKR1C4	2	0.42654	3.6046	0.017693	0.43361	0.00031258	0.0015372	0.37965	3.206	0.023239	0.48667	0.0013461	0.0056445	0.29759	2.5322	0.085803	0.74093	0.011335	0.031944	0.49731	4.1529	0.011849	0.43361	3.28E-05	0.00024423
RBM28	3	-0.72786	-7.6859	0.044802	0.58448	1.52E-14	4.11E-13	-0.68339	-7.2513	0.050083	0.60499	4.13E-13	1.05E-11	-0.46678	-5.0891	0.16502	0.82196	3.60E-07	3.68E-06	-0.51576	-5.3917	0.12073	0.77146	6.98E-08	1.00E-06
NTSR1	3	0.18899	1.7768	0.16801	0.80789	0.075596	0.15258	0.1768	1.6637	0.16436	0.82305	0.096174	0.18927	-0.044356	-0.41936	0.84213	0.98899	0.67495	0.77227	0.18117	1.6609	0.20412	0.8371	0.096732	0.18987
PPAPDC3	3	0.34971	3.3995	0.036822	0.55232	0.00067508	0.0030106	0.24168	2.3394	0.089224	0.71541	0.019314	0.052666	0.38823	3.8336	0.038854	0.60973	0.00012628	0.00068228	0.47804	4.5902	0.014237	0.45651	4.43E-06	4.22E-05
MPZL1	5	-0.41778	-5.4624	0.25104	0.86873	4.70E-08	5.31E-07	-0.49094	-6.3984	0.15547	0.80956	1.57E-10	2.79E-09	-0.36695	-4.9064	0.28805	0.88983	9.28E-07	8.61E-06	-0.44868	-5.6907	0.17998	0.82028	1.27E-08	2.11E-07
TRA2A	3	-0.23443	-1.9276	0.61168	0.96128	0.053909	0.11687	-0.32365	-2.6467	0.3914	0.91466	0.0081293	0.025838	-0.12383	-1.0543	0.88831	0.99048	0.29176	0.42291	-0.1141	-0.91874	0.93408	0.99689	0.35823	0.50657
LYRM5	2	-0.60677	-4.9277	0.088719	0.70622	8.32E-07	7.49E-06	-0.56585	-4.6198	0.10099	0.73491	3.84E-06	3.21E-05	-0.81854	-6.7063	0.019863	0.49771	2.00E-11	4.27E-10	-0.36236	-2.9174	0.29307	0.87355	0.0035296	0.013165
ERICH1	3	0.10339	0.91321	0.3325	0.90037	0.36113	0.50256	0.37454	3.3761	0.024548	0.49162	0.00073525	0.0033527	0.19378	1.7588	0.20317	0.85538	0.078617	0.15357	0.18259	1.5765	0.20178	0.83636	0.11491	0.21695
IL12RB1	3	0.033968	0.37686	0.51853	0.9438	0.70628	0.80174	0.040123	0.44563	0.46985	0.93574	0.65587	0.76886	-0.030484	-0.34081	0.79504	0.98373	0.73325	0.81681	-0.018423	-0.20115	0.73497	0.98095	0.84058	0.89972
CDIPT	4	-0.43615	-4.7389	0.22789	0.85885	2.15E-06	1.78E-05	-0.29604	-3.2579	0.45037	0.92816	0.0011225	0.0048064	-0.085675	-0.97211	0.98474	0.99918	0.331	0.46461	-0.21492	-2.31	0.61834	0.96412	0.020887	0.057135
RBFOX1	3	-0.35975	-3.8405	0.33807	0.90422	0.00012276	0.00067929	-0.373	-3.9849	0.30181	0.88624	6.75E-05	0.00041484	-0.34314	-3.7208	0.32653	0.8977	0.00019859	0.0010139	-0.3577	-3.7412	0.30104	0.87748	0.00018314	0.0010766
FANCA	2	0.097867	0.83594	0.34491	0.90603	0.40319	0.54438	-0.026526	-0.22555	0.69291	0.96866	0.82155	0.88891	-0.095464	-0.82003	0.98235	0.99918	0.4122	0.54403	-0.026795	-0.22293	0.76472	0.984	0.82359	0.88742
RFPL1	4	0.093434	0.98935	0.35552	0.91043	0.32249	0.46341	-0.019806	-0.20842	0.67004	0.96772	0.8349	0.89713	-0.018653	-0.20027	0.75403	0.98015	0.84127	0.89474	-0.02923	-0.29727	0.77291	0.984	0.76626	0.8486
KIAA1024	4	-0.088646	-0.97001	0.93267	0.99661	0.33204	0.47343	-0.065476	-0.71905	0.83222	0.98512	0.47211	0.61284	-0.041573	-0.46565	0.83288	0.98899	0.64147	0.74721	0.011953	0.12819	0.63045	0.96586	0.898	0.93683
MED13L	3	0.035271	0.29607	0.51479	0.94349	0.76718	0.84561	0.22329	1.9046	0.10636	0.74461	0.056837	0.12535	0.25188	2.1922	0.12705	0.78289	0.028365	0.067598	0.16137	1.3287	0.23873	0.85234	0.18395	0.30888
KLF15	6	0.46396	6.11	0.013009	0.4032	9.96E-10	1.46E-08	0.34728	4.5511	0.031575	0.52256	5.34E-06	4.32E-05	0.42124	5.6225	0.029152	0.54453	1.88E-08	2.50E-07	0.40587	5.2109	0.027246	0.54364	1.88E-07	2.45E-06
AMICA1	4	-0.23578	-2.8887	0.60797	0.9603	0.0038686	0.013416	-0.19947	-2.4516	0.70824	0.97064	0.014222	0.041	-0.099232	-1.2398	0.96986	0.99839	0.21505	0.33614	-0.23908	-2.8682	0.55224	0.95182	0.0041283	0.015003
SCNN1B	4	-0.14333	-1.4411	0.88322	0.99461	0.14955	0.26005	-0.20423	-2.0474	0.69351	0.96866	0.040616	0.095768	-0.21058	-2.1607	0.62316	0.96842	0.03072	0.072283	-0.27503	-2.6334	0.46256	0.9356	0.0084527	0.027256
PDYN	4	-0.094346	-1.0042	0.95232	0.99768	0.31526	0.45565	0.053264	0.57425	0.431	0.92623	0.5658	0.69528	0.069052	0.75869	0.47636	0.93703	0.44804	0.57836	-0.11454	-1.179	0.93252	0.99689	0.23838	0.37619
TAF1C	7	-0.85586	-12.688	0.022045	0.46829	6.88E-37	1.58E-34	-0.78674	-11.755	0.027384	0.50971	6.65E-32	1.25E-29	-0.51859	-8.0475	0.12233	0.77668	8.45E-16	3.26E-14	-0.60639	-8.9131	0.069315	0.6861	4.96E-19	4.14E-17
SLCO1B7	3	-0.59613	-5.0734	0.094058	0.70622	3.91E-07	3.72E-06	-0.63174	-5.3711	0.067822	0.6649	7.83E-08	9.16E-07	-0.57767	-5.0979	0.085768	0.74093	3.43E-07	3.53E-06	-0.75097	-5.9475	0.027992	0.54787	2.72E-09	5.20E-08
CTNNB1	4	-0.49822	-5.0857	0.1633	0.80186	3.66E-07	3.50E-06	-0.48138	-4.9354	0.16468	0.82305	8.00E-07	7.74E-06	-0.45333	-4.7834	0.17855	0.83294	1.72E-06	1.51E-05	-0.43386	-4.2916	0.19687	0.83396	1.77E-05	0.00014299
C14orf166	4	-0.33633	-3.4934	0.3804	0.92171	0.00047687	0.002217	-0.32187	-3.3556	0.39497	0.91488	0.00079206	0.0035734	-0.010087	-0.10984	0.72537	0.97775	0.91254	0.94357	-0.17126	-1.748	0.74867	0.98363	0.080455	0.16486
ANKRD35	5	0.054284	0.70717	0.45965	0.9387	0.47946	0.61509	0.083394	1.0896	0.34925	0.89979	0.27588	0.41812	-0.049372	-0.6503	0.85899	0.98948	0.5155	0.64136	0.10476	1.34	0.3612	0.9051	0.18024	0.30437
PEMT	3	0.031448	0.37119	0.52583	0.94466	0.71049	0.80505	-0.048048	-0.56662	0.76938	0.98002	0.57097	0.69967	-0.10585	-1.253	0.94747	0.99629	0.21022	0.33013	-0.0079147	-0.092697	0.69929	0.97557	0.92614	0.95368
ZNF518B	3	-0.015574	-0.15493	0.68091	0.96974	0.87688	0.92175	-0.048872	-0.486	0.77244	0.98044	0.62697	0.74502	-0.25454	-2.5449	0.50858	0.94162	0.01093	0.031027	-0.11834	-1.1399	0.91983	0.99689	0.25432	0.39413
NFKBIA	4	0.23577	2.6181	0.11091	0.73681	0.0088426	0.02682	0.2216	2.4626	0.10808	0.74828	0.013795	0.039996	0.21453	2.4189	0.1727	0.82954	0.015568	0.041319	0.1283	1.3804	0.30524	0.88103	0.16746	0.28851
CYSLTR2	2	0.26338	2.0882	0.085435	0.69962	0.036783	0.086304	0.12902	1.017	0.24551	0.87082	0.30915	0.45329	0.018842	0.15001	0.62753	0.96842	0.88075	0.92154	0.15292	1.1788	0.25432	0.85914	0.23849	0.37629
GCC2	6	0.102	1.445	0.33548	0.90238	0.14845	0.25851	-0.009007	-0.12701	0.6327	0.96292	0.89893	0.93994	-0.025289	-0.36175	0.77711	0.98192	0.71754	0.80487	-0.0038707	-0.053269	0.68622	0.97522	0.95752	0.97356
COL1A2	3	0.16369	1.6733	0.20715	0.84308	0.094265	0.182	0.12646	1.2921	0.25075	0.87449	0.19633	0.32435	-0.022474	-0.23118	0.76748	0.98141	0.81717	0.87796	0.15891	1.5926	0.24331	0.85528	0.11124	0.2117
EXOC3	4	-0.11765	-1.3271	0.96702	0.99833	0.18448	0.30516	-0.15486	-1.7457	0.85163	0.98892	0.080871	0.16511	0.047351	0.54847	0.53901	0.94829	0.58337	0.69936	-0.053004	-0.58562	0.85659	0.99321	0.55813	0.69069
LRRIQ4	3	0.20613	1.9405	0.14443	0.7857	0.052317	0.11416	0.21067	1.9871	0.1199	0.76192	0.046916	0.10736	0.36877	3.5587	0.046122	0.64375	0.00037269	0.0017713	0.33158	3.0744	0.054687	0.6581	0.0021094	0.0085313
HAUS4	3	-0.53223	-5.6871	0.13515	0.77279	1.29E-08	1.61E-07	-0.5028	-5.3892	0.14575	0.79912	7.08E-08	8.34E-07	-0.43518	-4.7441	0.19847	0.8515	2.09E-06	1.80E-05	-0.41636	-4.386	0.21792	0.84243	1.15E-05	9.90E-05
IFT57	3	-0.25697	-1.9008	0.55232	0.94869	0.057323	0.12279	-0.25601	-1.9001	0.54894	0.9505	0.057426	0.12628	-0.31732	-2.4161	0.37277	0.90997	0.015686	0.041581	-0.38685	-2.6739	0.25742	0.86013	0.0074975	0.024682
CMTM5	6	-0.22828	-2.8961	0.62846	0.96217	0.0037787	0.013143	-0.27106	-3.4345	0.50995	0.94175	0.00059371	0.0027831	-0.29758	-3.8488	0.41246	0.92346	0.0001187	0.00064672	-0.24284	-2.9785	0.54269	0.95182	0.0028967	0.011153
SLC41A2	4	-0.27225	-3.003	0.51621	0.94349	0.0026737	0.0098402	-0.33415	-3.6763	0.37136	0.90946	0.00023662	0.0012547	-0.33506	-3.7607	0.34047	0.90302	0.00016941	0.0008851	-0.26532	-2.8453	0.48513	0.94281	0.0044369	0.015897
NIPAL3	4	0.15325	1.5291	0.22616	0.85681	0.12623	0.22833	0.085048	0.84601	0.34491	0.89926	0.39754	0.54363	0.28337	2.91	0.096894	0.74352	0.0036141	0.012306	0.094396	0.90938	0.38693	0.91464	0.36315	0.51121
FBXO39	4	-0.26522	-2.9741	0.53267	0.94466	0.0029383	0.01063	-0.22831	-2.5724	0.62283	0.96045	0.010101	0.030889	-0.20165	-2.3185	0.64858	0.97214	0.020423	0.051572	-0.12434	-1.3707	0.89958	0.99602	0.17048	0.29222
MEIG1	3	-0.33479	-2.814	0.38319	0.92336	0.004893	0.016326	-0.1913	-1.6355	0.73395	0.97369	0.10195	0.19724	-0.26874	-2.3421	0.47589	0.93703	0.019176	0.048993	-0.26365	-2.1455	0.48906	0.94281	0.031915	0.079873
ZXDA	2	0.50913	3.4665	0.0087376	0.34897	0.00052728	0.0024145	0.41044	2.7816	0.017533	0.43075	0.0054089	0.018398	0.1342	0.91096	0.315	0.89574	0.36232	0.49765	0.25432	1.651	0.10932	0.75534	0.09873	0.19295
GJB2	2	0.2	1.7334	0.15224	0.79391	0.08303	0.16437	0.22139	1.9223	0.1083	0.74828	0.05457	0.12138	0.23919	2.0983	0.14147	0.80578	0.035875	0.082005	0.2883	2.4701	0.080429	0.70825	0.013509	0.040086
LFNG	3	0.12479	1.2951	0.28333	0.88075	0.19528	0.31853	0.16986	1.7683	0.17466	0.83233	0.077018	0.1588	0.1201	1.262	0.34565	0.90302	0.20695	0.3263	0.17765	1.8176	0.20977	0.83878	0.069126	0.14706
NAT16	4	0.064995	0.66751	0.42935	0.93698	0.50444	0.63637	-0.048422	-0.49406	0.7707	0.98024	0.62127	0.74132	0.056775	0.59572	0.51105	0.94181	0.55136	0.67242	-0.031055	-0.30713	0.7793	0.9844	0.75875	0.84354
GALK1	2	-0.29367	-2.243	0.46669	0.9387	0.024897	0.063294	-0.19422	-1.4987	0.7243	0.97163	0.13396	0.24261	-0.18181	-1.4328	0.70618	0.9773	0.15192	0.25733	-0.39325	-2.8686	0.24848	0.85776	0.0041234	0.014992
